entity_id,state,last_changed
sensor.xiaomi_va3_a62c_hcho_density,0.031,2024-08-08T08:00:44.146Z
sensor.xiaomi_va3_a62c_hcho_density,0.034,2024-08-08T08:02:07.592Z
sensor.xiaomi_va3_a62c_hcho_density,0.033,2024-08-08T08:07:07.780Z
sensor.xiaomi_va3_a62c_hcho_density,0.038,2024-08-08T08:11:07.653Z
sensor.xiaomi_va3_a62c_hcho_density,0.033,2024-08-08T08:15:07.739Z
sensor.xiaomi_va3_a62c_hcho_density,0.035,2024-08-08T08:20:07.926Z
sensor.xiaomi_va3_a62c_hcho_density,0.034,2024-08-08T08:25:07.833Z
sensor.xiaomi_va3_a62c_hcho_density,0.029,2024-08-08T08:27:07.690Z
sensor.xiaomi_va3_a62c_hcho_density,0.031,2024-08-08T08:37:07.751Z
sensor.xiaomi_va3_a62c_hcho_density,0.033,2024-08-08T08:42:07.932Z
sensor.xiaomi_va3_a62c_hcho_density,0.032,2024-08-08T08:47:07.913Z
sensor.xiaomi_va3_a62c_hcho_density,0.027,2024-08-08T08:50:38.038Z
sensor.xiaomi_va3_a62c_hcho_density,0.029,2024-08-08T08:55:37.757Z
sensor.xiaomi_va3_a62c_hcho_density,0.03,2024-08-08T08:57:37.951Z
sensor.xiaomi_va3_a62c_hcho_density,0.027,2024-08-08T08:58:07.772Z
sensor.xiaomi_va3_a62c_hcho_density,0.028,2024-08-08T08:59:07.851Z
sensor.xiaomi_va3_a62c_hcho_density,0.03,2024-08-08T08:59:37.935Z
sensor.xiaomi_va3_a62c_hcho_density,0.029,2024-08-08T09:00:08.071Z
sensor.xiaomi_va3_a62c_hcho_density,0.031,2024-08-08T09:00:37.950Z
sensor.xiaomi_va3_a62c_hcho_density,0.03,2024-08-08T09:01:07.844Z
sensor.xiaomi_va3_a62c_hcho_density,0.033,2024-08-08T09:07:38.013Z
sensor.xiaomi_va3_a62c_hcho_density,0.034,2024-08-08T09:17:37.863Z
sensor.xiaomi_va3_a62c_hcho_density,0.032,2024-08-08T09:19:38.003Z
sensor.xiaomi_va3_a62c_hcho_density,0.033,2024-08-08T09:20:37.860Z
sensor.xiaomi_va3_a62c_hcho_density,0.032,2024-08-08T09:21:07.974Z
sensor.xiaomi_va3_a62c_hcho_density,0.031,2024-08-08T09:21:37.848Z
sensor.xiaomi_va3_a62c_hcho_density,0.033,2024-08-08T09:22:07.970Z
sensor.xiaomi_va3_a62c_hcho_density,0.032,2024-08-08T09:22:37.882Z
